timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, temperature.memory, utilization.gpu [%], memory.used [MiB], clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/07/17 09:53:25.048, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.100, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.153, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.205, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.280, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.335, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.388, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.440, 1192, 877, 36.46, 49, 48, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.493, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.545, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.598, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.650, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.702, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.755, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.807, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.860, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.912, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:25.965, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:26.017, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:26.070, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:26.122, 1192, 877, 36.46, 49, 47, 99, 11402, Not Active, Not Active, Not Active
2026/07/17 09:53:26.175, 1192, 877, 40.79, 49, 47, 99, 13450, Not Active, Not Active, Not Active
2026/07/17 09:53:26.227, 1192, 877, 47.12, 49, 47, 99, 14224, Not Active, Not Active, Not Active
2026/07/17 09:53:26.279, 1192, 877, 150.94, 50, 49, 55, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.330, 1192, 877, 195.92, 51, 51, 55, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.382, 1192, 877, 198.44, 52, 52, 55, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.434, 1192, 877, 200.70, 53, 53, 97, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.486, 1192, 877, 197.83, 53, 53, 97, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.542, 1192, 877, 203.10, 53, 53, 97, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.593, 1192, 877, 206.59, 54, 53, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.645, 1192, 877, 201.05, 54, 54, 100, 14342, Not Active, Not Active, Not Active
