model	fused_normal_k_warps	unfused_normal_k_warps	repetitions	tg128_tok_s	tg128_stddev
gemma4-12b-q4_0	2	2	15	70.363651	0.297942
gemma4-12b-q4_0	1	2	15	69.258183	0.238036
