model	fused_normal_k_warps	unfused_normal_k_warps	repetitions	tg128_tok_s	tg128_stddev
qwen35-0.8b-q8_0	2	2	30	289.047694	0.143005
qwen35-0.8b-q8_0	1	2	30	286.680288	0.366347
