timestamp,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:47:01.140, 22.27, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:02.142, 22.27, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:03.143, 22.27, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:04.145, 21.79, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:05.147, 21.79, 150.00, 135, 877, 0, 6, 45
2026/07/13 20:47:06.148, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:07.150, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:08.152, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:09.153, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:10.155, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:47:11.157, 39.17, 150.00, 1312, 877, 0, 316, 44
2026/07/13 20:47:12.159, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:47:13.161, 51.70, 150.00, 1530, 877, 99, 6708, 46
2026/07/13 20:47:14.163, 50.74, 150.00, 1530, 877, 0, 7406, 46
2026/07/13 20:47:15.165, 145.44, 150.00, 1065, 877, 100, 7582, 49
2026/07/13 20:47:16.166, 141.60, 150.00, 1072, 877, 100, 7582, 50
2026/07/13 20:47:17.167, 45.90, 150.00, 1447, 877, 0, 6964, 47
2026/07/13 20:47:18.169, 152.54, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:47:19.171, 148.70, 150.00, 1260, 877, 98, 6966, 51
2026/07/13 20:47:20.173, 148.80, 150.00, 1260, 877, 98, 6966, 51
2026/07/13 20:47:21.179, 144.29, 150.00, 1260, 877, 98, 6966, 52
2026/07/13 20:47:22.185, 148.42, 150.00, 1252, 877, 98, 6966, 53
2026/07/13 20:47:23.186, 140.65, 150.00, 1245, 877, 98, 6966, 53
2026/07/13 20:47:24.188, 146.50, 150.00, 1260, 877, 98, 6966, 54
2026/07/13 20:47:25.191, 143.33, 150.00, 1230, 877, 98, 6966, 54
2026/07/13 20:47:26.197, 148.22, 150.00, 1260, 877, 98, 6966, 54
2026/07/13 20:47:27.207, 53.63, 150.00, 1530, 877, 0, 6, 52
2026/07/13 20:47:28.208, 53.15, 150.00, 1530, 877, 0, 6, 52
2026/07/13 20:47:29.210, 53.15, 150.00, 1530, 877, 0, 6, 52
2026/07/13 20:47:30.212, 53.15, 150.00, 1530, 877, 0, 6, 51
^C
