timestamp,index,uuid,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:37:54.638, 1, ${V100_GPU_1_UUID}, 160.32, 150.00, 1110, 877, 100, 7582, 44
2026/07/13 20:37:54.842, 1, ${V100_GPU_1_UUID}, 149.38, 150.00, 1050, 877, 99, 7582, 44
2026/07/13 20:37:55.046, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 1042, 877, 100, 7582, 45
2026/07/13 20:37:55.247, 1, ${V100_GPU_1_UUID}, 154.08, 150.00, 1065, 877, 99, 7582, 45
2026/07/13 20:37:55.452, 1, ${V100_GPU_1_UUID}, 145.82, 150.00, 1057, 877, 99, 7582, 45
2026/07/13 20:37:55.654, 1, ${V100_GPU_1_UUID}, 45.45, 150.00, 1282, 877, 100, 6966, 45
2026/07/13 20:37:55.855, 1, ${V100_GPU_1_UUID}, 147.36, 150.00, 1267, 877, 96, 6966, 45
2026/07/13 20:37:56.057, 1, ${V100_GPU_1_UUID}, 141.40, 150.00, 1267, 877, 98, 6966, 45
2026/07/13 20:37:56.259, 1, ${V100_GPU_1_UUID}, 140.36, 150.00, 1260, 877, 98, 6966, 45
2026/07/13 20:37:56.460, 1, ${V100_GPU_1_UUID}, 145.44, 150.00, 1267, 877, 98, 6966, 45
2026/07/13 20:37:56.665, 1, ${V100_GPU_1_UUID}, 144.58, 150.00, 1267, 877, 98, 6966, 45
2026/07/13 20:37:56.866, 1, ${V100_GPU_1_UUID}, 142.95, 150.00, 1260, 877, 98, 6966, 46
2026/07/13 20:37:57.068, 1, ${V100_GPU_1_UUID}, 144.58, 150.00, 1275, 877, 98, 6966, 46
2026/07/13 20:37:57.271, 1, ${V100_GPU_1_UUID}, 146.30, 150.00, 1245, 877, 98, 6966, 46
2026/07/13 20:37:57.473, 1, ${V100_GPU_1_UUID}, 142.27, 150.00, 1267, 877, 98, 6966, 46
2026/07/13 20:37:57.678, 1, ${V100_GPU_1_UUID}, 145.06, 150.00, 1260, 877, 98, 6966, 46
2026/07/13 20:37:57.883, 1, ${V100_GPU_1_UUID}, 141.60, 150.00, 1260, 877, 98, 6966, 46
2026/07/13 20:37:58.085, 1, ${V100_GPU_1_UUID}, 148.42, 150.00, 1275, 877, 98, 6966, 46
2026/07/13 20:37:58.293, 1, ${V100_GPU_1_UUID}, 140.17, 150.00, 1252, 877, 98, 6966, 47
2026/07/13 20:37:58.499, 1, ${V100_GPU_1_UUID}, 140.93, 150.00, 1260, 877, 98, 6966, 47
2026/07/13 20:37:58.701, 1, ${V100_GPU_1_UUID}, 147.56, 150.00, 1275, 877, 98, 6966, 47
2026/07/13 20:37:58.906, 1, ${V100_GPU_1_UUID}, 152.64, 150.00, 1260, 877, 98, 6966, 47
