timestamp,index,uuid,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:39:29.618, 1, ${V100_GPU_1_UUID}, 155.52, 150.00, 1027, 877, 93, 9376, 45
2026/07/13 20:39:29.819, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 1050, 877, 100, 9376, 45
2026/07/13 20:39:30.021, 1, ${V100_GPU_1_UUID}, 215.61, 150.00, 1200, 877, 100, 9376, 45
2026/07/13 20:39:30.222, 1, ${V100_GPU_1_UUID}, 145.54, 150.00, 1065, 877, 93, 9376, 45
2026/07/13 20:39:30.423, 1, ${V100_GPU_1_UUID}, 40.19, 150.00, 1312, 877, 100, 9376, 44
2026/07/13 20:39:30.625, 1, ${V100_GPU_1_UUID}, 149.18, 150.00, 1042, 877, 100, 9376, 46
2026/07/13 20:39:30.829, 1, ${V100_GPU_1_UUID}, 39.19, 150.00, 1312, 877, 100, 9376, 44
2026/07/13 20:39:31.031, 1, ${V100_GPU_1_UUID}, 144.10, 150.00, 1050, 877, 93, 9376, 46
2026/07/13 20:39:31.232, 1, ${V100_GPU_1_UUID}, 65.19, 150.00, 1042, 877, 100, 9376, 46
2026/07/13 20:39:31.433, 1, ${V100_GPU_1_UUID}, 132.00, 150.00, 1020, 877, 100, 9376, 46
2026/07/13 20:39:31.635, 1, ${V100_GPU_1_UUID}, 146.40, 150.00, 1042, 877, 100, 9376, 46
2026/07/13 20:39:31.836, 1, ${V100_GPU_1_UUID}, 47.87, 150.00, 1447, 877, 85, 354, 44
2026/07/13 20:39:32.037, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 100, 6, 44
2026/07/13 20:39:32.239, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 33, 6, 44
2026/07/13 20:39:32.440, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:32.642, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:32.845, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:33.047, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:33.249, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:33.451, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:33.652, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:33.854, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:34.055, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:34.257, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:34.459, 1, ${V100_GPU_1_UUID}, 49.77, 150.00, 1530, 877, 0, 6, 44
2026/07/13 20:39:34.660, 1, ${V100_GPU_1_UUID}, 41.58, 150.00, 1320, 877, 0, 6, 43
2026/07/13 20:39:34.862, 1, ${V100_GPU_1_UUID}, 39.17, 150.00, 1320, 877, 0, 6, 43
2026/07/13 20:39:35.064, 1, ${V100_GPU_1_UUID}, 38.68, 150.00, 1320, 877, 0, 6, 43
^C
