timestamp,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:45:40.588, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:45:41.590, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:45:42.591, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:45:43.593, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:45:44.595, 21.79, 150.00, 135, 877, 0, 8, 43
2026/07/13 20:45:45.596, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:45:46.599, 51.22, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:45:47.601, 50.25, 150.00, 1530, 877, 0, 7406, 45
2026/07/13 20:45:48.603, 151.30, 150.00, 1050, 877, 100, 7582, 48
2026/07/13 20:45:49.605, 146.40, 150.00, 1042, 877, 99, 7582, 49
2026/07/13 20:45:50.610, 39.17, 150.00, 1312, 877, 0, 6964, 46
2026/07/13 20:45:51.611, 149.18, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:45:52.612, 147.26, 150.00, 1275, 877, 98, 6966, 50
2026/07/13 20:45:53.614, 148.04, 150.00, 1267, 877, 98, 6966, 51
2026/07/13 20:45:54.615, 140.37, 150.00, 1260, 877, 98, 6966, 51
2026/07/13 20:45:55.619, 146.59, 150.00, 1260, 877, 98, 6966, 52
2026/07/13 20:45:56.626, 141.03, 150.00, 1252, 877, 98, 6966, 52
2026/07/13 20:45:57.636, 142.65, 150.00, 1252, 877, 98, 6966, 53
2026/07/13 20:45:58.641, 147.56, 150.00, 1260, 877, 98, 6966, 53
2026/07/13 20:45:59.647, 146.68, 150.00, 1252, 877, 98, 6966, 54
2026/07/13 20:46:00.650, 47.87, 150.00, 1447, 877, 99, 6, 52
2026/07/13 20:46:01.652, 47.35, 150.00, 1447, 877, 0, 6, 51
2026/07/13 20:46:02.654, 47.35, 150.00, 1447, 877, 0, 6, 51
2026/07/13 20:46:03.656, 32.90, 150.00, 1102, 877, 0, 6, 50
2026/07/13 20:46:04.658, 32.90, 150.00, 1102, 877, 0, 6, 50
2026/07/13 20:46:05.660, 32.90, 150.00, 1102, 877, 0, 6, 49
2026/07/13 20:46:06.662, 23.24, 150.00, 247, 877, 0, 6, 49
2026/07/13 20:46:07.664, 23.24, 150.00, 247, 877, 0, 6, 48
2026/07/13 20:46:08.666, 47.87, 150.00, 1447, 877, 100, 6708, 49
2026/07/13 20:46:09.668, 53.15, 150.00, 1530, 877, 99, 6708, 49
2026/07/13 20:46:10.670, 52.19, 150.00, 1530, 877, 8, 7406, 49
2026/07/13 20:46:11.671, 145.15, 150.00, 1042, 877, 58, 7582, 52
2026/07/13 20:46:12.673, 145.54, 150.00, 1027, 877, 99, 7582, 53
2026/07/13 20:46:13.676, 43.03, 150.00, 1350, 877, 90, 6964, 52
2026/07/13 20:46:14.678, 152.64, 150.00, 1267, 877, 11, 6966, 52
2026/07/13 20:46:15.685, 150.72, 150.00, 1245, 877, 98, 6966, 53
2026/07/13 20:46:16.688, 146.79, 150.00, 1252, 877, 98, 6966, 54
2026/07/13 20:46:17.696, 138.04, 150.00, 1267, 877, 98, 6966, 54
2026/07/13 20:46:18.702, 146.79, 150.00, 1252, 877, 98, 6966, 55
2026/07/13 20:46:19.709, 143.90, 150.00, 1245, 877, 98, 6966, 55
2026/07/13 20:46:20.713, 146.98, 150.00, 1260, 877, 98, 6966, 56
2026/07/13 20:46:21.718, 143.04, 150.00, 1237, 877, 98, 6966, 56
2026/07/13 20:46:22.726, 147.74, 150.00, 1245, 877, 98, 6966, 56
2026/07/13 20:46:23.733, 146.68, 150.00, 1245, 877, 98, 6966, 57
2026/07/13 20:46:24.737, 48.80, 150.00, 1447, 877, 0, 6, 54
2026/07/13 20:46:25.739, 48.32, 150.00, 1447, 877, 0, 6, 53
2026/07/13 20:46:26.740, 48.32, 150.00, 1447, 877, 0, 6, 53
2026/07/13 20:46:27.742, 47.84, 150.00, 1447, 877, 0, 6, 52
2026/07/13 20:46:28.744, 47.84, 150.00, 1447, 877, 0, 6, 52
^C
