timestamp,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:44:06.839, 21.79, 150.00, 135, 877, 0, 6, 44
2026/07/13 20:44:07.841, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:44:08.843, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:44:09.845, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:44:10.846, 21.79, 150.00, 135, 877, 0, 6, 43
2026/07/13 20:44:11.848, 38.68, 150.00, 1312, 877, 3, 316, 44
2026/07/13 20:44:12.849, 51.70, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:44:13.851, 51.70, 150.00, 1530, 877, 99, 6708, 45
2026/07/13 20:44:14.853, 51.22, 150.00, 1530, 877, 0, 7416, 45
2026/07/13 20:44:15.855, 143.04, 150.00, 1050, 877, 100, 7592, 48
2026/07/13 20:44:16.869, 146.88, 150.00, 1035, 877, 100, 7592, 49
2026/07/13 20:44:17.881, 40.13, 150.00, 1327, 877, 0, 6970, 46
2026/07/13 20:44:18.882, 143.52, 150.00, 1260, 877, 98, 6972, 49
2026/07/13 20:44:19.893, 144.29, 150.00, 1260, 877, 98, 6972, 50
2026/07/13 20:44:20.894, 145.54, 150.00, 1260, 877, 98, 6972, 51
2026/07/13 20:44:21.901, 144.29, 150.00, 1252, 877, 98, 6972, 51
2026/07/13 20:44:22.903, 146.60, 150.00, 1260, 877, 98, 6972, 52
2026/07/13 20:44:23.911, 147.16, 150.00, 1252, 877, 98, 6972, 52
2026/07/13 20:44:24.913, 144.00, 150.00, 1245, 877, 98, 6972, 53
2026/07/13 20:44:25.926, 152.54, 150.00, 1245, 877, 98, 6972, 53
2026/07/13 20:44:26.928, 147.64, 150.00, 1245, 877, 98, 6972, 54
2026/07/13 20:44:27.930, 143.62, 150.00, 1245, 877, 98, 6972, 54
2026/07/13 20:44:28.931, 52.19, 150.00, 1515, 877, 0, 7444, 52
2026/07/13 20:44:29.932, 148.42, 150.00, 1042, 877, 99, 7582, 55
2026/07/13 20:44:30.944, 146.88, 150.00, 1042, 877, 99, 7582, 55
2026/07/13 20:44:31.956, 43.52, 150.00, 1357, 877, 0, 6964, 52
2026/07/13 20:44:32.959, 150.04, 150.00, 1230, 877, 98, 6966, 55
2026/07/13 20:44:33.961, 142.85, 150.00, 1245, 877, 98, 6966, 55
2026/07/13 20:44:34.965, 144.67, 150.00, 1222, 877, 98, 6966, 56
2026/07/13 20:44:35.966, 143.33, 150.00, 1245, 877, 98, 6966, 56
2026/07/13 20:44:36.969, 150.49, 150.00, 1237, 877, 98, 6966, 56
2026/07/13 20:44:37.971, 141.41, 150.00, 1230, 877, 98, 6966, 57
2026/07/13 20:44:38.977, 143.33, 150.00, 1260, 877, 98, 6966, 57
2026/07/13 20:44:39.980, 149.96, 150.00, 1252, 877, 98, 6966, 57
2026/07/13 20:44:40.982, 146.68, 150.00, 1215, 877, 98, 6966, 58
2026/07/13 20:44:41.984, 45.93, 150.00, 1380, 877, 0, 7444, 55
2026/07/13 20:44:42.986, 156.48, 150.00, 1050, 877, 99, 7582, 58
2026/07/13 20:44:43.989, 148.80, 150.00, 1027, 877, 99, 7582, 58
2026/07/13 20:44:45.003, 42.55, 150.00, 1312, 877, 0, 6964, 55
2026/07/13 20:44:46.005, 143.23, 150.00, 1237, 877, 98, 6966, 57
2026/07/13 20:44:47.010, 151.58, 150.00, 1252, 877, 98, 6966, 58
2026/07/13 20:44:48.015, 151.96, 150.00, 1230, 877, 98, 6966, 58
2026/07/13 20:44:49.022, 145.06, 150.00, 1222, 877, 98, 6966, 58
2026/07/13 20:44:50.027, 146.01, 150.00, 1237, 877, 98, 6966, 59
2026/07/13 20:44:51.033, 147.54, 150.00, 1215, 877, 98, 6966, 59
2026/07/13 20:44:52.042, 148.12, 150.00, 1237, 877, 98, 6966, 59
2026/07/13 20:44:53.049, 153.88, 150.00, 1222, 877, 98, 6966, 59
2026/07/13 20:44:54.054, 141.79, 150.00, 1252, 877, 98, 6966, 59
2026/07/13 20:44:55.061, 54.60, 150.00, 1447, 877, 97, 354, 58
2026/07/13 20:44:56.062, 55.57, 150.00, 1530, 877, 0, 6, 57
2026/07/13 20:44:57.065, 55.08, 150.00, 1530, 877, 0, 6, 56
2026/07/13 20:44:58.067, 25.18, 150.00, 337, 877, 0, 6, 55
2026/07/13 20:44:59.069, 25.18, 150.00, 337, 877, 0, 6, 54
2026/07/13 20:45:00.071, 24.68, 150.00, 337, 877, 0, 6, 53
2026/07/13 20:45:01.073, 23.72, 150.00, 135, 877, 0, 6, 52
2026/07/13 20:45:02.076, 23.72, 150.00, 135, 877, 0, 6, 52
2026/07/13 20:45:03.079, 23.72, 150.00, 135, 877, 0, 6, 51
^C
